ID,Second_ID,First_name,Last_Name,Computer Networks,Signals and Systems,Databases,Calculus,Operating Systems
3493514672,3493514672,Ehsan Jack,Rastegari,16,2,11,18,3
2839560071,2839560071,Ali Ehsan,Sharbaaf,14,4,14,18,13
4782130148,4782130148,Hashem Chief,Sharbaaf,0,16,14,7,10
7412130633,7412130633,Reza Jack,Hami,17,14,9,5,2
8746396621,8746396621,Kamal Chief,Jalali,0,0,10,17,2
0000704810,0000704810,Jack Jack,Mahi,9,18,14,6,15
9071674341,9071674341,Master Jack,Mahi,16,17,1,19,8
2601140969,2601140969,Kamal Ali,Rastegari,14,15,4,12,5
8625156675,8625156675,James Hashem,Mohebi,18,12,16,4,16
6042224784,6042224784,Ali Till,Rastegari,0,0,14,14,3
1624480266,1624480266,Kamal Reza,Sharbaaf,6,11,11,20,12
3941375062,3941375062,Ehsan Mohammad,Jafari,4,3,16,20,6
0009940111,0009940111,Till Reza,Hami,15,9,16,14,15
7760425147,7760425147,James Hashem,Jafari,3,13,10,15,9
0604581053,0604581053,Master Hashem,Jafari,6,1,6,17,14
4702610270,4702610270,Mohammad Jack,Mohebi,20,2,13,2,16
6611989490,6611989490,Master Mohammad,Balochi,9,0,9,5,9
3950224738,3950224738,James Hashem,Hami,5,16,9,4,3
5506408195,5506408195,Mohammad Ehsan,Sharbaaf,11,12,4,12,3
8391324265,8391324265,James Till,Balochi,4,7,0,7,1
4273755982,4273755982,Mohammad Kamal,Jafari,16,18,10,8,15
9631787120,9631787120,Till Jack,Sharbaaf,9,4,16,13,5
0394733148,0394733148,Reza Jack,Mahi,17,15,1,18,2
8963293787,8963293787,Mohammad Ehsan,Jafari,13,1,1,15,20
3991750110,3991750110,James Jack,Hami,14,19,6,17,11
0418388576,0418388576,Kamal James,Sharbaaf,7,6,10,4,11
7125288303,7125288303,Master Reza,Hami,8,12,9,14,10
2683511818,2683511818,Ehsan Kamal,Hami,12,3,2,13,1
4153744208,4153744208,Mohammad Master,Sharbaaf,11,0,2,6,13
8521083621,8521083621,Hashem James,Balochi,1,17,10,4,4
1532827247,1532827247,Ehsan Hashem,Hami,4,7,1,10,5
5076192059,5076192059,Reza James,Rastegari,14,8,7,7,13
6162785537,6162785537,Reza Jack,Rastegari,20,8,3,18,1
5154118491,5154118491,Reza Chief,Jafari,12,8,13,4,1
4743049254,4743049254,Ehsan Kamal,Rastegari,4,1,11,15,12
6153157012,6153157012,Hashem Kamal,Jafari,2,10,14,3,19
0786116903,0786116903,Hashem Jack,Jafari,6,11,7,12,0
7886166309,7886166309,Ali James,Balochi,15,20,19,16,0
3836371934,3836371934,Mohammad Jack,Mahi,5,11,13,7,14
4342884082,4342884082,Ehsan Ali,Sharbaaf,12,8,2,16,11
9209752255,9209752255,Till Jack,Mohebi,18,1,15,13,3
3808129642,3808129642,Ali Jack,Sharbaaf,6,18,14,2,20
0955456599,0955456599,Ehsan Reza,Mahi,9,16,1,3,18
6374068081,6374068081,Chief Master,Balochi,2,3,18,10,16
2312001247,2312001247,Hashem Ali,Mohebi,14,16,3,16,17
1217811021,1217811021,Ali Ali,Rastegari,3,6,0,10,20
3294014925,3294014925,Ehsan Kamal,Balochi,1,1,18,12,0
7133049818,7133049818,Kamal Hashem,Rastegari,4,9,18,0,14
4269434671,4269434671,Ehsan Chief,Mahi,16,14,18,20,3
4915477463,4915477463,Ehsan Hashem,Jalali,11,10,20,11,7
4946204467,4946204467,Ehsan Ehsan,Hami,1,4,15,14,10
8018426780,8018426780,Chief Mohammad,Mohebi,6,16,14,15,20
7579732120,7579732120,Till James,Balochi,16,0,4,13,10
7172699504,7172699504,Till Jack,Jafari,8,1,18,13,5
9433128574,9433128574,Ehsan Reza,Mohebi,19,12,19,15,14
7372657212,7372657212,Jack Ali,Mahi,2,4,5,11,0
5338173382,5338173382,Mohammad James,Mohebi,15,14,9,20,1
0499639574,0499639574,Ehsan Master,Hami,19,14,10,19,12
8943069066,8943069066,Hashem Till,Hami,12,16,1,6,2
5065742868,5065742868,Kamal James,Rastegari,4,17,6,5,10
2287425720,2287425720,Reza James,Hami,1,18,15,3,4
3216598257,3216598257,Till Till,Balochi,3,17,2,14,7
7248149949,7248149949,Till Mohammad,Jafari,17,16,15,0,2
9380470294,9380470294,Reza Ehsan,Hami,0,15,18,13,3
3668235427,3668235427,Jack Chief,Sharbaaf,10,0,10,1,18
5148043108,5148043108,Hashem Reza,Jalali,12,8,20,18,8
2090496353,2090496353,Hashem Ehsan,Rastegari,8,4,17,13,13
3395104898,3395104898,Till Kamal,Sharbaaf,4,6,0,14,18
4073144713,4073144713,Chief Ehsan,Mahi,10,18,8,4,20
8375448948,8375448948,Mohammad Master,Sharbaaf,12,12,16,6,9
5607259481,5607259481,Jack James,Jalali,19,11,16,1,0
5848058693,5848058693,Chief Jack,Sharbaaf,0,14,15,2,14
0441345102,0441345102,Kamal Till,Hami,8,7,11,13,15
1776575197,1776575197,Ali Till,Jalali,2,11,18,13,17
5251196817,5251196817,Ali Master,Sharbaaf,10,6,1,11,7
7992585725,7992585725,Chief Ehsan,Jalali,13,17,7,4,18
6850619615,6850619615,Ali Hashem,Hami,20,3,9,18,17
7016576031,7016576031,Chief Reza,Mohebi,7,19,4,12,11
8956253249,8956253249,Ali Jack,Hami,7,11,4,10,20
7242095126,7242095126,Hashem Reza,Jalali,0,17,7,14,4
3821759411,3821759411,Till Ehsan,Sharbaaf,15,8,4,12,8
4886617157,4886617157,Master Jack,Sharbaaf,7,9,2,9,6
1116205929,1116205929,Mohammad Mohammad,Mohebi,20,0,4,9,19
2029835247,2029835247,Master Reza,Hami,17,12,15,0,15
2730269215,2730269215,Ehsan Reza,Mohebi,6,9,20,12,10
9268554738,9268554738,Reza Master,Balochi,9,9,0,15,10
6962893319,6962893319,James Master,Balochi,8,16,18,14,1
9817577289,9817577289,Mohammad Hashem,Jafari,20,9,15,12,7
3157711583,3157711583,Ali Hashem,Sharbaaf,18,1,9,13,12
4485148913,4485148913,Mohammad Kamal,Mahi,9,10,4,17,20
8871562309,8871562309,James Hashem,Balochi,6,6,11,10,2
9573615572,9573615572,Chief Till,Mohebi,10,19,0,14,19
7764355927,7764355927,Hashem Ali,Mohebi,10,12,15,8,15
9400410728,9400410728,Chief Hashem,Sharbaaf,11,15,20,19,12
1788316162,1788316162,Till Ali,Jalali,16,12,16,13,4
6753031993,6753031993,Reza Reza,Rastegari,13,10,16,12,3
2381270128,2381270128,James Ali,Balochi,15,15,9,20,15
2007510214,2007510214,Kamal Chief,Mohebi,20,11,17,2,15
1120385504,1120385504,Till James,Mohebi,19,12,4,10,18
0410597322,0410597322,Ehsan James,Rastegari,2,13,5,15,15
2780632361,2780632361,Till Ehsan,Hami,3,2,13,19,17
6864460808,6864460808,Hashem Ali,Jalali,9,1,12,17,12
3541699754,3541699754,Master Chief,Hami,14,18,1,1,15
0936059696,0936059696,Ali Kamal,Mohebi,15,11,19,5,19
1859781399,1859781399,Jack Kamal,Rastegari,12,16,6,11,7
9202564957,9202564957,Hashem Till,Balochi,7,20,17,15,9
3368829056,3368829056,Ali Ali,Hami,8,13,11,18,6
5081338127,5081338127,Chief Till,Rastegari,8,16,15,13,4
0949437817,0949437817,Hashem Ehsan,Rastegari,11,4,17,15,17
3774115963,3774115963,Till Till,Sharbaaf,0,7,16,18,17
3864697799,3864697799,James Master,Jafari,11,6,1,4,16
6285714550,6285714550,Hashem Hashem,Sharbaaf,17,14,9,17,19
7129203595,7129203595,Reza Jack,Rastegari,10,5,16,11,0
5898052056,5898052056,Ali Kamal,Rastegari,14,10,2,2,1
3120394715,3120394715,Ehsan Master,Hami,15,1,1,9,8
0540230212,0540230212,Till Kamal,Balochi,14,18,18,3,13
2252068624,2252068624,Ali Ehsan,Rastegari,10,4,15,12,3
3037312745,3037312745,James Kamal,Mahi,15,5,20,6,20
3376900689,3376900689,Ali Mohammad,Mahi,20,13,8,10,20
5853450821,5853450821,James Till,Rastegari,12,13,7,13,7
9508504830,9508504830,Master Kamal,Sharbaaf,11,11,0,0,19
3971068528,3971068528,Till Jack,Mahi,4,3,3,12,18
0442400144,0442400144,Hashem Reza,Hami,7,8,12,6,1
1080875979,1080875979,Ali Kamal,Balochi,20,2,13,12,17
1909723436,1909723436,Master Chief,Jalali,10,11,17,8,3
3192306165,3192306165,Kamal Ali,Jalali,16,19,16,4,5
3136658485,3136658485,Hashem Reza,Mohebi,11,7,9,14,0
3885130713,3885130713,Till Till,Hami,16,1,1,6,19
2080769955,2080769955,Chief Till,Mohebi,3,7,20,16,16
6926735907,6926735907,Hashem James,Sharbaaf,0,12,14,20,14
7571160987,7571160987,Ali Jack,Mahi,20,3,9,10,8
5973347828,5973347828,Kamal James,Sharbaaf,18,13,10,13,4
7149327301,7149327301,Master Hashem,Hami,12,16,16,9,6
6922437562,6922437562,Jack Till,Rastegari,0,6,9,6,20
3243258827,3243258827,Master Hashem,Rastegari,8,11,13,20,20
5934880702,5934880702,James Ehsan,Balochi,14,13,5,19,4
2314183327,2314183327,Hashem James,Mahi,2,2,5,5,2
9874005441,9874005441,Hashem Till,Rastegari,19,5,11,14,6
5746289773,5746289773,Till Kamal,Balochi,9,17,11,5,12
4619614750,4619614750,James Ehsan,Jafari,15,15,5,3,19
0531388098,0531388098,Jack Master,Mahi,0,6,1,8,13
9674149732,9674149732,Hashem Jack,Hami,16,14,20,10,0
7714314426,7714314426,Till Reza,Mahi,11,14,5,8,15
3624932223,3624932223,Reza Hashem,Rastegari,2,7,16,13,3
9219355162,9219355162,Jack Reza,Jalali,0,7,10,12,4
4237438477,4237438477,Chief Ehsan,Sharbaaf,5,19,3,17,1
0103842013,0103842013,James Jack,Hami,16,5,10,8,13
7917367043,7917367043,Reza Hashem,Jalali,1,8,3,8,14
2719540269,2719540269,Ehsan Mohammad,Mohebi,2,20,17,9,4
5643123466,5643123466,Reza Till,Balochi,19,6,18,10,15
0424426583,0424426583,Master Till,Rastegari,20,11,5,17,8
8267425029,8267425029,James Jack,Sharbaaf,17,0,13,0,13
4679003773,4679003773,Reza Ali,Mahi,11,19,17,18,6
9935028147,9935028147,Ehsan Jack,Sharbaaf,20,18,8,13,8
6326337235,6326337235,Hashem Kamal,Jalali,10,14,9,10,7
6407564785,6407564785,Ali Till,Jalali,13,14,0,3,8
5775103150,5775103150,Master Ali,Hami,4,7,13,9,7
5425065477,5425065477,Chief Jack,Rastegari,11,0,14,13,16
0051986931,0051986931,James Till,Jafari,7,20,20,17,3
5970787502,5970787502,Jack Mohammad,Jalali,7,14,17,18,19
9614721208,9614721208,Hashem Jack,Jalali,0,7,11,16,5
5875330381,5875330381,Master Ali,Balochi,5,2,8,11,3
7015208366,7015208366,Kamal Ali,Hami,0,18,19,14,9
2088204652,2088204652,Till Ehsan,Jafari,15,2,6,5,3
1178358839,1178358839,Kamal Chief,Hami,2,20,9,12,17
0386120609,0386120609,Kamal Reza,Jafari,8,5,4,0,6
5793241560,5793241560,Chief Kamal,Jalali,14,14,2,16,9
2211140561,2211140561,Mohammad Jack,Jafari,8,2,8,6,17
2573948641,2573948641,Reza Till,Balochi,18,12,16,9,8
5020433703,5020433703,Ali James,Jalali,20,12,11,16,19
1606537447,1606537447,Kamal Mohammad,Hami,0,10,17,17,1
3906969550,3906969550,Reza Reza,Balochi,8,3,18,17,19
5971643265,5971643265,Chief Ali,Jafari,4,7,16,19,10
5791177785,5791177785,Kamal Ali,Hami,18,1,16,6,10
4786072648,4786072648,James Chief,Hami,19,5,8,9,9
0945823370,0945823370,Chief Master,Rastegari,5,19,17,9,3
4883313980,4883313980,Mohammad Ehsan,Balochi,5,9,11,2,8
3167363105,3167363105,Master Master,Rastegari,20,15,13,15,12
7188250805,7188250805,Kamal Chief,Sharbaaf,14,13,2,13,9
6123424279,6123424279,Jack Till,Mahi,2,11,6,15,17
2181437904,2181437904,Till Ehsan,Jafari,18,14,20,9,16
8169988398,8169988398,Mohammad James,Jalali,1,7,9,13,8
6695384722,6695384722,Ehsan James,Mohebi,3,0,18,7,6
1055766964,1055766964,Reza Master,Jafari,8,14,19,9,20
4890428476,4890428476,Master Chief,Rastegari,0,18,4,19,8
9995416522,9995416522,Master Till,Mohebi,18,4,3,14,4
7387133853,7387133853,Till Mohammad,Mohebi,6,18,4,7,7
0989473583,0989473583,Till James,Mahi,2,8,12,2,20
8688483256,8688483256,Ehsan Chief,Hami,16,10,18,20,3
7226648670,7226648670,Ehsan Till,Mohebi,3,9,2,3,18
8801120774,8801120774,Jack Master,Mohebi,0,2,16,17,1
6501781529,6501781529,James Till,Jafari,10,6,5,4,17
2223140904,2223140904,Till Mohammad,Mohebi,15,18,8,8,15
9504985343,9504985343,Master Till,Jafari,13,16,5,5,11
0285588457,0285588457,Hashem Hashem,Balochi,2,7,1,4,13
4932134854,4932134854,Reza Ali,Mohebi,4,15,15,3,13
2676874968,2676874968,Master Hashem,Jafari,1,10,13,18,0
2183495017,2183495017,Mohammad Ali,Mahi,19,4,19,15,19
2879564386,2879564386,Master Ehsan,Rastegari,11,1,5,0,9
8696253615,8696253615,Master Jack,Rastegari,3,18,0,13,19
3067261708,3067261708,Jack Reza,Mahi,4,2,1,3,17
3510991510,3510991510,Hashem Reza,Jafari,18,15,13,0,4
0986679477,0986679477,Chief Master,Jalali,9,3,5,8,19
8045412702,8045412702,Reza Ehsan,Balochi,2,1,19,18,2
0012235396,0012235396,Hashem Kamal,Balochi,4,8,19,5,17
5261925397,5261925397,Till Ehsan,Hami,19,11,8,8,17
1331780860,1331780860,Mohammad Ali,Jafari,7,4,7,8,6
6202530362,6202530362,Till Master,Balochi,1,13,10,12,4
2371951700,2371951700,James Reza,Mohebi,1,8,19,8,19
5616869868,5616869868,James Jack,Jafari,14,18,14,9,0
5517610521,5517610521,James James,Jafari,7,3,13,13,2
5730230701,5730230701,Till Hashem,Rastegari,20,6,11,15,8
5690208048,5690208048,Kamal Mohammad,Mahi,6,11,13,15,0
2995915705,2995915705,Mohammad Kamal,Mohebi,7,11,19,9,0
9583536543,9583536543,Ehsan Jack,Balochi,1,0,12,16,20
4641767109,4641767109,James Kamal,Hami,14,5,19,4,12
7514812674,7514812674,Ehsan Reza,Jafari,5,13,6,7,7
8145954899,8145954899,Ali Reza,Jafari,8,0,3,0,1
6604247418,6604247418,Hashem Ali,Jafari,11,6,5,2,18
4377105098,4377105098,Master Reza,Sharbaaf,5,14,15,1,14
8874380029,8874380029,Ehsan Kamal,Jalali,17,5,0,11,15
5116279023,5116279023,Mohammad James,Sharbaaf,3,19,16,13,18
4979079093,4979079093,Kamal Hashem,Sharbaaf,0,12,1,7,19
6832004777,6832004777,Chief James,Mahi,2,7,15,20,20
2548493090,2548493090,Reza Mohammad,Jalali,3,4,8,6,3
0644077366,0644077366,Kamal Till,Jalali,17,1,13,10,2
1978034932,1978034932,Ali Ehsan,Mohebi,14,6,6,11,5
5514491483,5514491483,Master Ehsan,Mahi,13,16,8,12,20
2516971699,2516971699,Hashem Jack,Sharbaaf,11,16,1,3,19
7329165298,7329165298,Ali Chief,Rastegari,12,9,17,15,5
3658619968,3658619968,James Kamal,Jalali,18,8,2,0,19
7349344466,7349344466,Reza Chief,Sharbaaf,15,8,16,15,16
6666607533,6666607533,Reza Jack,Hami,11,20,12,13,14
1112304431,1112304431,Ali Hashem,Jalali,9,4,20,11,6
9295548024,9295548024,Master Hashem,Sharbaaf,2,6,11,11,14
6088766940,6088766940,Jack Hashem,Mohebi,3,17,7,1,15
8470848814,8470848814,Ehsan Ali,Jafari,15,0,12,17,6
8057830216,8057830216,Ali Ehsan,Jalali,0,18,19,8,4
8690277292,8690277292,James Jack,Hami,0,18,12,6,1
5278198132,5278198132,Kamal Mohammad,Rastegari,12,2,6,1,2
3893569145,3893569145,Ehsan Ali,Mohebi,8,4,6,7,10
3897496542,3897496542,Kamal Mohammad,Mahi,18,10,0,4,5
4083005561,4083005561,Jack Hashem,Mohebi,2,18,1,18,0
8635039520,8635039520,Ali Master,Hami,19,0,0,13,1
8773932333,8773932333,Chief Jack,Rastegari,5,11,8,17,3
3676222543,3676222543,Ali Hashem,Jalali,15,1,7,14,20
2381350517,2381350517,Ehsan Kamal,Rastegari,10,13,13,3,4
9246159245,9246159245,Chief Hashem,Mohebi,5,9,0,0,15
3317498729,3317498729,Master Chief,Mohebi,17,19,11,14,1
4127689349,4127689349,Chief Ehsan,Mahi,12,17,5,19,4
1924753337,1924753337,Ehsan Kamal,Balochi,10,11,7,11,11
2089018845,2089018845,Hashem Till,Mahi,5,20,11,16,17
1159030493,1159030493,Reza Reza,Hami,18,3,9,8,11
2975710176,2975710176,Mohammad Jack,Balochi,9,10,5,15,18
6499860355,6499860355,Reza Chief,Mohebi,5,20,12,11,11
9231953320,9231953320,Till Kamal,Mahi,12,12,2,2,9
2639038085,2639038085,Reza Hashem,Mahi,18,2,19,12,20
5529313426,5529313426,Mohammad Hashem,Mohebi,9,8,18,9,6
6833131430,6833131430,Ali Ali,Sharbaaf,7,16,20,14,4
1634544493,1634544493,Reza Reza,Mohebi,4,18,5,13,6
4413965798,4413965798,Mohammad Master,Jalali,15,14,12,16,15
7124875217,7124875217,Master Kamal,Mahi,2,0,11,11,11
5315596691,5315596691,Mohammad Ehsan,Mohebi,2,10,8,3,9
7479502233,7479502233,Till Ehsan,Mahi,9,1,9,8,0
6913607732,6913607732,Ali Hashem,Mahi,15,17,9,17,18
0756573156,0756573156,Till Till,Mohebi,16,8,19,12,4
5277249322,5277249322,Kamal James,Jafari,20,14,20,6,5
9698691155,9698691155,Till Kamal,Rastegari,19,15,0,15,15
1775595714,1775595714,Ali Hashem,Jafari,7,7,20,12,19
3669109119,3669109119,Till Ali,Hami,20,15,4,20,13
6796439924,6796439924,Kamal Kamal,Rastegari,8,6,9,6,1
3616646565,3616646565,James Till,Balochi,4,5,14,14,15
4331102721,4331102721,James Ali,Jalali,9,2,19,15,12
6991583425,6991583425,Mohammad James,Mahi,4,2,12,17,8
1357325244,1357325244,Reza Ali,Jafari,12,16,5,16,18
4160754016,4160754016,Ali Hashem,Rastegari,3,16,1,3,14
2140175843,2140175843,Ali Mohammad,Rastegari,16,0,5,8,6
2605162418,2605162418,Master Kamal,Balochi,4,17,11,6,1
5351917634,5351917634,James Till,Sharbaaf,15,12,17,2,6
1501117153,1501117153,Ali Ali,Jalali,10,11,19,0,4
9391623578,9391623578,Master Master,Jafari,4,19,2,15,7
5407011683,5407011683,Jack Ali,Jafari,8,11,7,20,0
0870583640,0870583640,Ehsan Hashem,Jafari,18,17,15,19,14
2426107396,2426107396,Ali Hashem,Sharbaaf,7,0,8,20,3
2332922422,2332922422,Master Ehsan,Jalali,20,14,5,18,1
8114703546,8114703546,Reza Till,Jalali,14,3,13,0,11
7588625555,7588625555,Ehsan Reza,Mohebi,5,4,9,16,16
3943461449,3943461449,Mohammad Ali,Sharbaaf,10,19,16,0,5
2828618709,2828618709,Chief James,Rastegari,13,16,10,19,13
3289112398,3289112398,Hashem Ehsan,Sharbaaf,6,20,18,2,10
4296132328,4296132328,Mohammad Jack,Sharbaaf,20,0,2,1,1
8780883719,8780883719,Master Ali,Rastegari,16,0,3,16,13
1162508464,1162508464,Ehsan Chief,Sharbaaf,7,20,17,9,0
0410515516,0410515516,Master Jack,Hami,0,20,11,3,18
9983813105,9983813105,Kamal Reza,Sharbaaf,19,20,14,6,11
5166507302,5166507302,Ali Master,Jalali,0,15,9,6,7
1936074731,1936074731,Hashem Master,Balochi,8,15,5,14,17
9120085274,9120085274,Reza Master,Jafari,7,14,16,7,12
5149936987,5149936987,Ali Master,Jafari,3,4,19,5,13
2338743388,2338743388,James Ali,Hami,9,16,18,8,1
9337918726,9337918726,James Chief,Sharbaaf,6,3,18,19,10
5883989569,5883989569,Ali Master,Jafari,12,7,13,16,2
4723918618,4723918618,Ali Ali,Mahi,13,3,8,17,3
5440370996,5440370996,Kamal Till,Balochi,13,20,10,0,4
8887852250,8887852250,Chief Till,Rastegari,19,20,5,16,5
0881871938,0881871938,Chief Reza,Jafari,20,4,0,12,17
8442475803,8442475803,Mohammad Till,Mahi,9,8,9,12,9
2590223455,2590223455,Mohammad James,Hami,13,17,20,6,0
2508501130,2508501130,Jack Till,Mahi,19,2,1,12,11
1538720724,1538720724,Jack Ali,Mahi,2,12,4,4,5
8820847314,8820847314,Jack Ehsan,Mahi,16,20,6,8,6
0571966496,0571966496,Chief Reza,Mahi,6,16,16,9,10
1825686317,1825686317,Jack Ali,Jafari,20,18,14,9,8
6546470364,6546470364,Kamal Hashem,Mahi,3,1,19,20,13
1204923259,1204923259,James Till,Jalali,6,0,17,1,8
1379083024,1379083024,Master Mohammad,Jafari,8,13,2,19,15
7695645441,7695645441,Mohammad Kamal,Jalali,19,20,14,6,20
2809478794,2809478794,Till James,Hami,19,13,17,9,10
7852284672,7852284672,Ali Chief,Mohebi,5,14,14,3,6
0221576008,0221576008,Jack Hashem,Rastegari,5,6,12,14,18
9607096170,9607096170,Kamal Ali,Balochi,7,18,13,4,6
5937117357,5937117357,Jack Mohammad,Balochi,0,8,16,14,6
4935314265,4935314265,Mohammad Ali,Rastegari,2,1,20,11,20
4224409093,4224409093,Hashem Ali,Mahi,5,14,18,2,4
1109815251,1109815251,Ali Ehsan,Hami,13,19,16,4,14
1626209679,1626209679,Ehsan Mohammad,Jalali,20,11,8,11,3
8643891163,8643891163,Reza Mohammad,Hami,17,5,17,6,0
7020551429,7020551429,Master Jack,Balochi,15,19,13,13,18
7911506213,7911506213,Kamal Mohammad,Hami,7,2,6,10,16
1876299129,1876299129,Till Kamal,Sharbaaf,10,5,8,10,6
9038029725,9038029725,James Ehsan,Mahi,8,20,4,17,12
8204062647,8204062647,Ali Till,Jalali,16,1,3,2,17
0393501610,0393501610,Hashem Master,Balochi,11,16,1,20,1
8896576085,8896576085,Ehsan Chief,Mahi,14,8,11,10,5
1864847173,1864847173,Ehsan Master,Sharbaaf,12,18,7,4,11
8125208627,8125208627,Kamal Jack,Jafari,9,4,11,0,6
5841545397,5841545397,Till James,Sharbaaf,1,1,12,3,10
7369119497,7369119497,Hashem Master,Mahi,3,12,11,18,9
0702019112,0702019112,Mohammad Kamal,Jalali,17,12,19,8,5
1323506053,1323506053,Reza Ali,Rastegari,14,1,14,17,12
1930913613,1930913613,Ehsan James,Mohebi,8,15,2,8,17
6886884372,6886884372,Ali Jack,Balochi,8,2,7,7,6
8772177308,8772177308,Hashem Hashem,Mahi,16,16,2,18,15
3948246676,3948246676,Mohammad Reza,Balochi,1,8,16,16,18
6564583545,6564583545,Chief Jack,Mahi,7,15,14,17,15
2109628461,2109628461,Ehsan Master,Hami,4,5,18,7,10
9855580072,9855580072,Chief Hashem,Sharbaaf,9,15,5,8,10
3560930467,3560930467,Ehsan Reza,Sharbaaf,3,2,7,10,8
0372648323,0372648323,Jack Hashem,Jafari,9,13,4,9,6
4459029210,4459029210,Till Jack,Hami,17,18,16,16,1
8673158513,8673158513,Reza Reza,Jafari,11,3,6,12,10
3217002793,3217002793,Master Mohammad,Jalali,19,12,6,6,13
2956303742,2956303742,Master Chief,Rastegari,19,9,8,4,3
2070194306,2070194306,Kamal Hashem,Jafari,11,17,8,16,17
0263761683,0263761683,Chief Mohammad,Balochi,6,6,4,12,17
6805033807,6805033807,Ehsan Reza,Jalali,16,7,5,20,8
7175224284,7175224284,Hashem Hashem,Rastegari,0,6,5,6,12
